source,lender_TopRSSDID,lender_TopName,lender_TopName_lower,normalized_name_x,fuzzy_matched_name,id,date,fed_district_code,charter_type,city,country,parent_id,lei,name_legal,name,org_type,fed_regulator,state,name_legal_lower,normalized_name_y
1.0,1145476,WEBSTER FINANCIAL CORPORATION,webster financial corporation,webster financial corporation,webster financial corporation,1145476,20171231,1,500,WATERBURY,UNITED STATES,0,KMRURHT0VWKYS6Z5KU67,WEBSTER FINANCIAL CORPORATION,WEBSTER FNCL CORP,1,FRS,CT,webster financial corporation,webster financial corporation
1.0,1199563,ASSOCIATED BANCCORP,associated banccorp,associated banccorp,associated banccorp,1199563,20171231,7,500,GREEN BAY,UNITED STATES,0,549300N3CIN473IW5094,ASSOCIATED BANC-CORP,ASSOCIATED BANC-CORP,1,FRS,WI,associated banc-corp,associated banccorp
1.0,1199844,COMERICA INCORPORATED,comerica incorporated,comerica incorporated,comerica incorporated,1199844,20171231,11,500,DALLAS,UNITED STATES,0,I9Q57JVPWHHZ3ZGBW498,COMERICA INCORPORATED,COMERICA,1,FRS,TX,comerica incorporated,comerica incorporated
1.0,1201671,BTC FINANCIAL CORPORATION,btc financial corporation,btc financial corporation,btc financial corporation,1201671,20171231,7,500,DES MOINES,UNITED STATES,0,0,BTC FINANCIAL CORPORATION,BTC FC,1,FRS,IA,btc financial corporation,btc financial corporation
1.0,1201934,TCF FINANCIAL CORPORATION,tcf financial corporation,tcf financial corporation,tcf financial corporation,2389941,20171231,9,500,WAYZATA,UNITED STATES,0,0,TCF FINANCIAL CORPORATION,TCF FC,1,FRS,MN,tcf financial corporation,tcf financial corporation
1.0,1203602,FIRST BUSEY CORPORATION,first busey corporation,first busey corporation,first busey corporation,1203602,20171231,7,500,CHAMPAIGN,UNITED STATES,0,549300X4ZNLYSX7GUY60,FIRST BUSEY CORPORATION,FIRST BUSEY CORP,1,FRS,IL,first busey corporation,first busey corporation
1.0,1204560,FIRST BANCSHARES INC,first bancshares inc,first bancshares incorporated,first bancshares incorporated,1056451,20171231,10,500,KANSAS CITY,UNITED STATES,0,0,"FIRST BANCSHARES, INC.",FIRST BSHRS,1,FRS,KS,"first bancshares, inc.",first bancshares incorporated
1.0,1204560,FIRST BANCSHARES INC,first bancshares inc,first bancshares incorporated,first bancshares incorporated,1071258,20171231,4,500,BELLEVUE,UNITED STATES,0,0,FIRST BANCSHARES INC.,FIRST BSHRS,1,FRS,OH,first bancshares inc.,first bancshares incorporated
1.0,1204560,FIRST BANCSHARES INC,first bancshares inc,first bancshares incorporated,first bancshares incorporated,1204560,20171231,7,500,MERRILLVILLE,UNITED STATES,0,549300EPPYR62TF65C76,"FIRST BANCSHARES, INC.",FIRST BSHRS,1,FRS,IN,"first bancshares, inc.",first bancshares incorporated
1.0,1204560,FIRST BANCSHARES INC,first bancshares inc,first bancshares incorporated,first bancshares incorporated,2484417,20171231,10,500,MOUNTAIN GROVE,UNITED STATES,0,0,"FIRST BANCSHARES, INC.",FIRST BSHRS,1,FRS,MO,"first bancshares, inc.",first bancshares incorporated
1.0,1206760,FIRST MID BANCSHARES INC,first mid bancshares inc,first mid bancshares incorporated,first bancshares incorporated,1056451,20171231,10,500,KANSAS CITY,UNITED STATES,0,0,"FIRST BANCSHARES, INC.",FIRST BSHRS,1,FRS,KS,"first bancshares, inc.",first bancshares incorporated
1.0,1206760,FIRST MID BANCSHARES INC,first mid bancshares inc,first mid bancshares incorporated,first bancshares incorporated,1071258,20171231,4,500,BELLEVUE,UNITED STATES,0,0,FIRST BANCSHARES INC.,FIRST BSHRS,1,FRS,OH,first bancshares inc.,first bancshares incorporated
1.0,1206760,FIRST MID BANCSHARES INC,first mid bancshares inc,first mid bancshares incorporated,first bancshares incorporated,1204560,20171231,7,500,MERRILLVILLE,UNITED STATES,0,549300EPPYR62TF65C76,"FIRST BANCSHARES, INC.",FIRST BSHRS,1,FRS,IN,"first bancshares, inc.",first bancshares incorporated
1.0,1206760,FIRST MID BANCSHARES INC,first mid bancshares inc,first mid bancshares incorporated,first bancshares incorporated,2484417,20171231,10,500,MOUNTAIN GROVE,UNITED STATES,0,0,"FIRST BANCSHARES, INC.",FIRST BSHRS,1,FRS,MO,"first bancshares, inc.",first bancshares incorporated
3.0,1205585,FREEPORT BANCSHARES INC,freeport bancshares inc,freeport bancshares incorporated,freeport bancshares incorporated,1125795,20171231,9,500,FREEPORT,UNITED STATES,0,0,"FREEPORT BANCSHARES, INC.",FREEPORT BSHRS,1,FRS,MN,"freeport bancshares, inc.",freeport bancshares incorporated
3.0,1205585,FREEPORT BANCSHARES INC,freeport bancshares inc,freeport bancshares incorporated,freeport bancshares incorporated,1205585,20171231,7,500,FREEPORT,UNITED STATES,0,0,"FREEPORT BANCSHARES, INC.",FREEPORT BSHRS,1,FRS,IL,"freeport bancshares, inc.",freeport bancshares incorporated
3.0,1205585,FREEPORT BANCSHARES INC,freeport bancshares inc,freeport bancshares incorporated,freeport bancshares incorporated,4442701,20171231,10,500,ARGONIA,UNITED STATES,0,0,"FREEPORT BANCSHARES, INC.",FREEPORT BSHRS,1,FRS,KS,"freeport bancshares, inc.",freeport bancshares incorporated
1.0,1206546,HEARTLAND FINANCIAL USA INC,heartland financial usa inc,heartland financial usa incorporated,heartland financial usa incorporated,1206546,20171231,7,500,DUBUQUE,UNITED STATES,0,549300QF7B0DFZT32C73,"HEARTLAND FINANCIAL USA, INC.",HEARTLAND FNCL USA,1,FRS,IA,"heartland financial usa, inc.",heartland financial usa incorporated
3.0,1206603,MANHATTAN BANCSHARES INC,manhattan bancshares inc,manhattan bancshares incorporated,manhattan bancshares incorporated,1206603,20171231,7,500,MANHATTAN,UNITED STATES,0,0,"MANHATTAN BANCSHARES, INC.",MANHATTAN BSHRS,1,FRS,IL,"manhattan bancshares, inc.",manhattan bancshares incorporated
1.0,1208184,FIRST MIDWEST BANCORP INC,first midwest bancorp inc,first midwest bancorp incorporated,first midwest bancorp incorporated,1208184,20171231,7,500,ITASCA,UNITED STATES,0,0,"FIRST MIDWEST BANCORP, INC.",FIRST MW BC,1,FRS,IL,"first midwest bancorp, inc.",first midwest bancorp incorporated
1.0,1208906,LAKELAND FINANCIAL CORPORATION,lakeland financial corporation,lakeland financial corporation,lakeland financial corporation,1208906,20171231,7,500,WARSAW,UNITED STATES,0,0,LAKELAND FINANCIAL CORPORATION,LAKELAND FC,1,FRS,IN,lakeland financial corporation,lakeland financial corporation
1.0,1209136,HORIZON BANCORP INC,horizon bancorp inc,horizon bancorp incorporated,horizon bancorp incorporated,1209136,20171231,7,500,MICHIGAN CITY,UNITED STATES,0,549300U2OQ2EIT5MXG39,"HORIZON BANCORP, INC.",HORIZON BC,1,FRS,IN,"horizon bancorp, inc.",horizon bancorp incorporated
1.0,1209136,HORIZON BANCORP INC,horizon bancorp inc,horizon bancorp incorporated,horizon bancorp incorporated,3382985,20171231,12,500,LAKE HAVASU CITY,UNITED STATES,0,0,"HORIZON BANCORP, INC.",HORIZON BC,1,FRS,AZ,"horizon bancorp, inc.",horizon bancorp incorporated
3.0,1210749,MSB BANCORPORATION INC,msb bancorporation inc,msb bancorporation incorporated,msb bancorporation incorporated,1210749,20171231,7,500,MARION,UNITED STATES,0,0,"M.S.B. BANCORPORATION, INC.",MSB BC,1,FRS,WI,"m.s.b. bancorporation, inc.",msb bancorporation incorporated
1.0,1239254,BANCO SANTANDER SA,banco santander sa,banco santander sa,santander bancorp,2847115,20171231,1,500,SAN JUAN,PUERTO RICO,3981856,549300CWCCS20I25N084,SANTANDER BANCORP,SANTANDER BC,1,FRS,PR,santander bancorp,santander bancorp
1.0,1245705,WEST SUBURBAN BANCORP INC,west suburban bancorp inc,west suburban bancorp incorporated,west suburban bancorp incorporated,1245705,20171231,7,500,LOMBARD,UNITED STATES,0,0,"WEST SUBURBAN BANCORP, INC.",WEST SUBURBAN BC,1,FRS,IL,"west suburban bancorp, inc.",west suburban bancorp incorporated
2.0,1248304,SANDY SPRING BANCORP INC,sandy spring bancorp inc,sandy spring bancorp incorporated,sandy spring bancorp incorporated,1248304,20171231,5,500,OLNEY,UNITED STATES,0,0,"SANDY SPRING BANCORP, INC.",SANDY SPRING BC,1,FRS,MD,"sandy spring bancorp, inc.",sandy spring bancorp incorporated
1.0,1250099,SEMPERVERDE HOLDING CO,semperverde holding co,semperverde holding company,river holding company,2486813,20171231,7,500,STODDARD,UNITED STATES,0,0,RIVER HOLDING COMPANY,RIVER HC,1,FRS,WI,river holding company,river holding company
3.0,1404735,PTB CORPORATION,ptb corporation,ptb corporation,ptb corporation,1404735,20171231,12,500,SALEM,UNITED STATES,0,0,PTB CORPORATION,PTB CORP,1,FRS,OR,ptb corporation,ptb corporation
1.0,1404799,LAKELAND BANCORP INC,lakeland bancorp inc,lakeland bancorp incorporated,lakeland bancorp incorporated,1404799,20171231,2,500,OAK RIDGE,UNITED STATES,0,549300NF90LR9ETZDR73,"LAKELAND BANCORP, INC.",LAKELAND BC,1,FRS,NJ,"lakeland bancorp, inc.",lakeland bancorp incorporated
1.0,1490701,JOHNSON FINANCIAL GROUP INC,johnson financial group inc,johnson financial group incorporated,johnson financial group incorporated,1490701,20171231,7,500,RACINE,UNITED STATES,0,549300SMIU4R1RSNLX11,"JOHNSON FINANCIAL GROUP, INC.",JOHNSON FNCL GRP,1,FRS,WI,"johnson financial group, inc.",johnson financial group incorporated
2.0,1491351,MIDLAND STATES BANCORP INC,midland states bancorp inc,midland states bancorp incorporated,midland states bancorp incorporated,1491351,20171231,8,500,EFFINGHAM,UNITED STATES,0,5493006RHXW9TTBWYC94,"MIDLAND STATES BANCORP, INC.",MIDLAND STATES BANCORP,1,FRS,IL,"midland states bancorp, inc.",midland states bancorp incorporated
2.0,1491717,FARMINGTON BANCORP INC,farmington bancorp inc,farmington bancorp incorporated,farmington bancorp incorporated,1491717,20171231,7,500,FARMINGTON,UNITED STATES,0,0,"FARMINGTON BANCORP, INC.",FARMINGTON BC,1,FRS,IL,"farmington bancorp, inc.",farmington bancorp incorporated
1.0,1491904,ROYAL BANCSHARES INC,royal bancshares inc,royal bancshares incorporated,royal bancshares incorporated,1096372,20171231,8,500,SAINT LOUIS,UNITED STATES,0,0,"ROYAL BANCSHARES, INC.",ROYAL BSHRS,1,FRS,MO,"royal bancshares, inc.",royal bancshares incorporated
1.0,1491904,ROYAL BANCSHARES INC,royal bancshares inc,royal bancshares incorporated,royal bancshares incorporated,1207758,20171231,7,500,ROYAL,UNITED STATES,0,0,"ROYAL BANCSHARES, INC.",ROYAL BSHRS,1,FRS,IA,"royal bancshares, inc.",royal bancshares incorporated
1.0,1491904,ROYAL BANCSHARES INC,royal bancshares inc,royal bancshares incorporated,royal bancshares incorporated,1491904,20171231,7,500,ELROY,UNITED STATES,0,0,"ROYAL BANCSHARES, INC.",ROYAL BSHRS,1,FRS,WI,"royal bancshares, inc.",royal bancshares incorporated
2.0,1496253,UNIVERSITY BANCORP INC,university bancorp inc,university bancorp incorporated,university bancorp incorporated,1496253,20171231,7,500,ANN ARBOR,UNITED STATES,0,0,"UNIVERSITY BANCORP, INC.",UNIVERSITY BC,1,FRS,MI,"university bancorp, inc.",university bancorp incorporated
1.0,1562859,ALLY FINANCIAL INC,ally financial inc,ally financial incorporated,ally financial incorporated,1562859,20171231,7,720,DETROIT,UNITED STATES,0,549300JBN1OSM8YNAI90,ALLY FINANCIAL INC.,ALLY FNCL,1,FRS,MI,ally financial inc.,ally financial incorporated
3.0,1860863,CBX CORPORATION,cbx corporation,cbx corporation,cbx corporation,1860863,20171231,8,500,CARROLLTON,UNITED STATES,0,549300ZIM73E2656RW15,CBX CORPORATION,CBX CORP,1,FRS,IL,cbx corporation,cbx corporation
1.0,1862036,GUARANTY BANCSHARES INC,guaranty bancshares inc,guaranty bancshares incorporated,guaranty bancshares incorporated,1862036,20171231,11,500,MOUNT PLEASANT,UNITED STATES,0,0,"GUARANTY BANCSHARES, INC.",GUARANTY BSHRS,1,FRS,TX,"guaranty bancshares, inc.",guaranty bancshares incorporated
1.0,1866155,PEOPLESSOUTH BANCSHARES INC,peoplessouth bancshares inc,peoplessouth bancshares incorporated,peoplessouth bancshares incorporated,1866155,20171231,6,500,COLQUITT,UNITED STATES,0,0,"PEOPLESSOUTH BANCSHARES, INC.",PEOPLESSOUTH BSHRS,1,FRS,GA,"peoplessouth bancshares, inc.",peoplessouth bancshares incorporated
1.0,1885307,ORIGIN BANCORP INC,origin bancorp inc,origin bancorp incorporated,origin bancorp incorporated,1885307,20171231,11,500,RUSTON,UNITED STATES,0,54930055DO2Z4KO3NB45,"ORIGIN BANCORP, INC.",ORIGIN BC,1,FRS,LA,"origin bancorp, inc.",origin bancorp incorporated
1.0,1902651,MERIDIAN BANCORP INC,meridian bancorp inc,meridian bancorp incorporated,meridian bancorp incorporated,1902651,20171231,1,500,PEABODY,UNITED STATES,0,0,"MERIDIAN BANCORP, INC.",MERIDIAN BC,1,FRS,MA,"meridian bancorp, inc.",meridian bancorp incorporated
2.0,1951350,CITIGROUP INC,citigroup inc,citigroup incorporated,citigroup incorporated,1951350,20171231,2,500,NEW YORK,UNITED STATES,0,6SHGI4ZSSLCXXQSBB395,CITIGROUP INC.,CITIGROUP,1,FRS,NY,citigroup inc.,citigroup incorporated
1.0,1971693,ATLANTIC UNION BANKSHARES CORPORATION,atlantic union bankshares corporation,atlantic union bankshares corporation,union bankshares corporation,1971693,20171231,5,500,RICHMOND,UNITED STATES,0,0,UNION BANKSHARES CORPORATION,UNION BSHRS CORP,1,FRS,VA,union bankshares corporation,union bankshares corporation
2.0,2016340,FIRST COMMUNITY BANCORP INC,first community bancorp inc,first community bancorp incorporated,first community bancorp incorporated,1208018,20171231,7,500,BEECHER,UNITED STATES,0,0,"FIRST COMMUNITY BANCORP, INC.",FIRST CMNTY BC,1,FRS,IL,"first community bancorp, inc.",first community bancorp incorporated
2.0,2016340,FIRST COMMUNITY BANCORP INC,first community bancorp inc,first community bancorp incorporated,first community bancorp incorporated,2016340,20171231,6,500,SHELBYVILLE,UNITED STATES,0,0,"FIRST COMMUNITY BANCORP, INC.",FIRST CMNTY BC,1,FRS,TN,"first community bancorp, inc.",first community bancorp incorporated
2.0,2016340,FIRST COMMUNITY BANCORP INC,first community bancorp inc,first community bancorp incorporated,first community bancorp incorporated,2151670,20171231,8,500,AUBURN,UNITED STATES,0,0,"FIRST COMMUNITY BANCORP, INC",FIRST COMMUNITY BANCORP,1,FRS,KY,"first community bancorp, inc",first community bancorp incorporated
2.0,2016340,FIRST COMMUNITY BANCORP INC,first community bancorp inc,first community bancorp incorporated,first community bancorp incorporated,2252009,20171231,9,500,GLASGOW,UNITED STATES,0,0,"FIRST COMMUNITY BANCORP, INC.",FIRST CMNTY BC,1,FRS,MT,"first community bancorp, inc.",first community bancorp incorporated
2.0,2016340,FIRST COMMUNITY BANCORP INC,first community bancorp inc,first community bancorp incorporated,first community bancorp incorporated,4151003,20171231,1,500,NEW HAVEN,UNITED STATES,4151012,0,FIRST COMMUNITY BANCORP INC,FIRST CMNTY BC,1,FRS,CT,first community bancorp inc,first community bancorp incorporated
3.0,2022734,MERCHANTS AND MANUFACTURERS BANK CORPORATION,merchants and manufacturers bank corporation,merchants and manufacturers bank corporation,merchants and manufacturers bank corporation,2022734,20171231,7,500,CHANNAHON,UNITED STATES,0,0,MERCHANTS AND MANUFACTURERS BANK CORPORATION,MERCHANTS & MFR BK CORP,1,FRS,IL,merchants and manufacturers bank corporation,merchants and manufacturers bank corporation
1.0,2038409,HAWTHORN BANCSHARES INC,hawthorn bancshares inc,hawthorn bancshares incorporated,hawthorn bancshares incorporated,2038409,20171231,8,500,JEFFERSON CITY,UNITED STATES,0,0,"HAWTHORN BANCSHARES, INC",HAWTHORN BSHRS,1,FRS,MO,"hawthorn bancshares, inc",hawthorn bancshares incorporated
3.0,2078816,COLUMBIA BANKING SYSTEM INC,columbia banking system inc,columbia banking system incorporated,columbia banking system incorporated,2078816,20171231,12,500,TACOMA,UNITED STATES,0,0,"COLUMBIA BANKING SYSTEM, INC.",COLUMBIA BKG SYS,1,FRS,WA,"columbia banking system, inc.",columbia banking system incorporated
3.0,2126977,BANNER CORPORATION,banner corporation,banner corporation,banner corporation,2126977,20171231,12,500,WALLA WALLA,UNITED STATES,0,0,BANNER CORPORATION,BANNER CORP,1,FRS,WA,banner corporation,banner corporation
1.0,2127068,ALLIANCE BANCSHARES INC,alliance bancshares inc,alliance bancshares incorporated,alliance bancshares incorporated,2127068,20171231,11,500,SULPHUR SPRINGS,UNITED STATES,0,0,"ALLIANCE BANCSHARES, INC.",ALLIANCE BSHRS,1,FRS,TX,"alliance bancshares, inc.",alliance bancshares incorporated
1.0,2127068,ALLIANCE BANCSHARES INC,alliance bancshares inc,alliance bancshares incorporated,alliance bancshares incorporated,3253629,20171231,8,500,CAPE GIRARDEAU,UNITED STATES,0,0,"ALLIANCE BANCSHARES, INC.",ALLIANCE BSHRS,1,FRS,MO,"alliance bancshares, inc.",alliance bancshares incorporated
1.0,2162966,MORGAN STANLEY,morgan stanley,morgan stanley,morgan stanley,2162966,20171231,2,720,NEW YORK,UNITED STATES,0,IGJSJL3JD5P30I6NJZ34,MORGAN STANLEY,MORGAN STANLEY,1,FRS,NY,morgan stanley,morgan stanley
1.0,2260406,WINTRUST FINANCIAL CORPORATION,wintrust financial corporation,wintrust financial corporation,wintrust financial corporation,2260406,20171231,7,500,ROSEMONT,UNITED STATES,0,Q774KI4AW80FHFW33O61,WINTRUST FINANCIAL CORPORATION,WINTRUST FC,1,FRS,IL,wintrust financial corporation,wintrust financial corporation
1.0,2264404,NEXTIER INCORPORATED,nextier incorporated,nextier incorporated,nextier incorporated,2264404,20171231,4,500,KITTANNING,UNITED STATES,0,549300P9Z68O0W6RWY48,NEXTIER INCORPORATED,NEXTIER,1,FRS,PA,nextier incorporated,nextier incorporated
1.0,2277860,CAPITAL ONE FINANCIAL CORPORATION,capital one financial corporation,capital one financial corporation,capital one financial corporation,2277860,20171231,5,500,MCLEAN,UNITED STATES,0,ZUE8T73ROZOF6FLBAR73,CAPITAL ONE FINANCIAL CORPORATION,CAPITAL ONE FC,1,FRS,VA,capital one financial corporation,capital one financial corporation
1.0,2291914,IBERIABANK CORPORATION,iberiabank corporation,iberiabank corporation,iberiabank corporation,2291914,20171231,6,500,LAFAYETTE,UNITED STATES,0,WQ4U3ADCR5WID15LA317,IBERIABANK CORPORATION,IBERIABANK CORP,1,FRS,LA,iberiabank corporation,iberiabank corporation
2.0,2337081,PASSUMPSIC BANCORP,passumpsic bancorp,passumpsic bancorp,passumpsic bancorp,2337081,20171231,1,500,SAINT JOHNSBURY,UNITED STATES,0,0,PASSUMPSIC BANCORP,PASSUMPSIC BC,6,FRS,VT,passumpsic bancorp,passumpsic bancorp
1.0,2349815,WESTERN ALLIANCE BANCORPORATION,western alliance bancorporation,western alliance bancorporation,western alliance bancorporation,2349815,20171231,12,500,PHOENIX,UNITED STATES,0,5493003VJXZ5JXT9S762,WESTERN ALLIANCE BANCORPORATION,WESTERN ALLI BC,1,FRS,AZ,western alliance bancorporation,western alliance bancorporation
1.0,2360043,LAKE ELMO BANCSHARES INC,lake elmo bancshares inc,lake elmo bancshares incorporated,lake elmo bancshares incorporated,2360043,20171231,9,500,LAKE ELMO,UNITED STATES,0,0,"LAKE ELMO BANCSHARES, INC.",LAKE ELMO BSHRS,1,FRS,MN,"lake elmo bancshares, inc.",lake elmo bancshares incorporated
3.0,2360454,STOCKMENS FINANCIAL CORPORATION,stockmens financial corporation,stockmens financial corporation,stockmens financial corporation,2360454,20171231,10,500,RAPID CITY,UNITED STATES,3796902,54930070TYG3FVTEL560,STOCKMENS FINANCIAL CORPORATION,STOCKMENS FC,1,FRS,SD,stockmens financial corporation,stockmens financial corporation
1.0,2380443,GOLDMAN SACHS GROUP INC THE,goldman sachs group inc the,goldman sachs group incorporated the,goldman sachs group incorporated the,2380443,20171231,2,700,NEW YORK,UNITED STATES,0,784F5XWPLTWKTBV3E584,"GOLDMAN SACHS GROUP, INC., THE",GOLDMAN SACHS GROUP THE,1,FRS,NY,"goldman sachs group, inc., the",goldman sachs group incorporated the
1.0,2393274,FLUSHING FINANCIAL CORPORATION,flushing financial corporation,flushing financial corporation,flushing financial corporation,2393274,20171231,2,500,UNIONDALE,UNITED STATES,0,0,FLUSHING FINANCIAL CORPORATION,FLUSHING FC,1,FRS,NY,flushing financial corporation,flushing financial corporation
1.0,2402813,MAGNOLIA BANCORP INC,magnolia bancorp inc,magnolia bancorp incorporated,magnolia bancorp incorporated,2402813,20171231,4,500,MAGNOLIA,UNITED STATES,0,0,"MAGNOLIA BANCORP, INC.",MAGNOLIA BC,1,FRS,OH,"magnolia bancorp, inc.",magnolia bancorp incorporated
1.0,2490575,OFG BANCORP,ofg bancorp,ofg bancorp,ofg bancorp,2490575,20171231,2,500,SAN JUAN,PUERTO RICO,0,0,OFG BANCORP,OFG BC,1,FRS,PR,ofg bancorp,ofg bancorp
1.0,2494153,HOMETOWN FINANCIAL GROUP INC,hometown financial group inc,hometown financial group incorporated,hometown financial group incorporated,2494153,20171231,7,500,FLANAGAN,UNITED STATES,0,0,"HOMETOWN FINANCIAL GROUP, INC.",HOMETOWN FNCL GRP,1,FRS,IL,"hometown financial group, inc.",hometown financial group incorporated
1.0,2494153,HOMETOWN FINANCIAL GROUP INC,hometown financial group inc,hometown financial group incorporated,hometown financial group incorporated,3728958,20171231,1,500,EASTHAMPTON,UNITED STATES,3728930,0,"HOMETOWN FINANCIAL GROUP, INC",HOMETOWN FNCL GRP,1,FRS,MA,"hometown financial group, inc",hometown financial group incorporated
2.0,2507790,CAROLINA FINANCIAL CORPORATION,carolina financial corporation,carolina financial corporation,carolina financial corporation,2507790,20171231,5,500,CHARLESTON,UNITED STATES,0,0,CAROLINA FINANCIAL CORPORATION,CAROLINA FC,1,FRS,SC,carolina financial corporation,carolina financial corporation
1.0,2523389,COMMUNITY FINANCIAL CORPORATION THE,community financial corporation the,community financial corporation the,community financial corporation the,2523389,20171231,5,500,WALDORF,UNITED STATES,0,0,"COMMUNITY FINANCIAL CORPORATION, THE",COMMUNITY FC,1,FRS,MD,"community financial corporation, the",community financial corporation the
3.0,2571120,COLUMBIA BANK MHC,columbia bank mhc,columbia bank mhc,columbia bank mhc,2571120,20171231,3,500,FAIR LAWN,UNITED STATES,0,0,COLUMBIA BANK MHC,COLUMBIA BK MHC,6,FRS,NJ,columbia bank mhc,columbia bank mhc
2.0,2582827,NORTHWAY FINANCIAL INC,northway financial inc,northway financial incorporated,northway financial incorporated,2582827,20171231,1,500,NORTH CONWAY,UNITED STATES,0,5493006VN282B4KCIN50,"NORTHWAY FINANCIAL, INC.",NORTHWAY FNCL,1,FRS,NH,"northway financial, inc.",northway financial incorporated
1.0,2589732,KINDERHOOK BANK CORP,kinderhook bank corp,kinderhook bank corporation,kinderhook bank corporation,2589732,20171231,2,500,KINDERHOOK,UNITED STATES,0,549300L79UZB0KDTXC31,KINDERHOOK BANK CORP.,KINDERHOOK BK CORP,1,FRS,NY,kinderhook bank corp.,kinderhook bank corporation
1.0,2609975,OCEANFIRST FINANCIAL CORP,oceanfirst financial corp,oceanfirst financial corporation,oceanfirst financial corporation,2609975,20171231,3,500,TOMS RIVER,UNITED STATES,0,0,OCEANFIRST FINANCIAL CORP.,OCEANFIRST FNCL CORP,1,FRS,NJ,oceanfirst financial corp.,oceanfirst financial corporation
2.0,2623430,NARRAGANSETT FINANCIAL CORP,narragansett financial corp,narragansett financial corporation,narragansett financial corporation,2623430,20171231,1,500,SWANSEA,UNITED STATES,0,0,NARRAGANSETT FINANCIAL CORP,NARRAGANSETT FNCL CORP,6,FRS,MA,narragansett financial corp,narragansett financial corporation
1.0,2630746,UNITY BANCSHARES LLC,unity bancshares llc,unity bancshares llc,unity bancshares llc,2630746,20171231,8,500,SAINT LOUIS,UNITED STATES,0,0,"UNITY BANCSHARES, L.L.C.",UNITY BSHRS LLC,11,FRS,MO,"unity bancshares, l.l.c.",unity bancshares llc
1.0,2706735,TEXAS CAPITAL BANCSHARES INC,texas capital bancshares inc,texas capital bancshares incorporated,texas capital bancshares incorporated,2706735,20171231,11,500,DALLAS,UNITED STATES,0,549300466Q2SXRX0YM48,"TEXAS CAPITAL BANCSHARES, INC.",TEXAS CAP BSHRS,1,FRS,TX,"texas capital bancshares, inc.",texas capital bancshares incorporated
3.0,2734064,INDEPENDENT ALLIANCE BANKS INC,independent alliance banks inc,independent alliance banks incorporated,independent bancshares incorporated,1023341,20171231,6,500,RED BAY,UNITED STATES,3587294,0,"INDEPENDENT BANCSHARES, INC.",INDEPENDENT BSHRS,1,FRS,AL,"independent bancshares, inc.",independent bancshares incorporated
3.0,2734064,INDEPENDENT ALLIANCE BANKS INC,independent alliance banks inc,independent alliance banks incorporated,independent bancshares incorporated,2466235,20171231,9,500,EXCELSIOR,UNITED STATES,0,549300TSE8H82NSXXB45,"INDEPENDENT BANCSHARES, INC.",INDEPENDENT BSHRS,1,FRS,MN,"independent bancshares, inc.",independent bancshares incorporated
2.0,2734233,EAST WEST BANCORP INC,east west bancorp inc,east west bancorp incorporated,east west bancorp incorporated,2734233,20171231,12,500,PASADENA,UNITED STATES,0,0,"EAST WEST BANCORP, INC.",EAST WEST BC,1,FRS,CA,"east west bancorp, inc.",east west bancorp incorporated
1.0,2737814,NORTHPOINTE BANCSHARES INC,northpointe bancshares inc,northpointe bancshares incorporated,northpointe bancshares incorporated,2737814,20171231,7,500,GRAND RAPIDS,UNITED STATES,0,0,"NORTHPOINTE BANCSHARES, INC.",NORTHPOINTE BSHRS,1,FRS,MI,"northpointe bancshares, inc.",northpointe bancshares incorporated
3.0,2747644,UMPQUA HOLDINGS CORPORATION,umpqua holdings corporation,umpqua holdings corporation,umpqua holdings corporation,2747644,20171231,12,500,PORTLAND,UNITED STATES,0,0,UMPQUA HOLDINGS CORPORATION,UMPQUA HC,1,FRS,OR,umpqua holdings corporation,umpqua holdings corporation
1.0,2784920,1ST CONSTITUTION BANCORP,1st constitution bancorp,1st constitution bancorp,1st constitution bancorp,2784920,20171231,2,500,CRANBURY,UNITED STATES,0,0,1ST CONSTITUTION BANCORP,1ST CONSTITUTION BC,1,FRS,NJ,1st constitution bancorp,1st constitution bancorp
1.0,2900261,HANMI FINANCIAL CORPORATION,hanmi financial corporation,hanmi financial corporation,hanmi financial corporation,2900261,20171231,12,500,LOS ANGELES,UNITED STATES,0,549300MSZ7RCG7EA6587,HANMI FINANCIAL CORPORATION,HANMI FC,1,FRS,CA,hanmi financial corporation,hanmi financial corporation
1.0,2931331,FARMERS AND MERCHANTS BANCSHARES INC,farmers and merchants bancshares inc,farmers and merchants bancshares incorporated,merchants and farmers bancshares incorporated,2111432,20171231,6,500,EUTAW,UNITED STATES,0,0,"MERCHANTS AND FARMERS BANCSHARES, INC.",MERCHANTS & FARMERS BSHRS,1,FRS,AL,"merchants and farmers bancshares, inc.",merchants and farmers bancshares incorporated
1.0,2937100,CONNECTICUT MUTUAL HOLDING COMPANY,connecticut mutual holding company,connecticut mutual holding company,connecticut mutual holding company,2937100,20171231,1,500,WINSTED,UNITED STATES,0,0,CONNECTICUT MUTUAL HOLDING COMPANY,CONNECTICUT MUTUAL HOLDING CO,6,FRS,CT,connecticut mutual holding company,connecticut mutual holding company
3.0,2961879,HOPE BANCORP INC,hope bancorp inc,hope bancorp incorporated,hope bancorp incorporated,2961879,20171231,12,500,LOS ANGELES,UNITED STATES,0,0,"HOPE BANCORP, INC.",HOPE BC,1,FRS,CA,"hope bancorp, inc.",hope bancorp incorporated
